SectionName,AverageComments
ART REVIEW,4.846153846
BUSINESS,60.63188168
OPINION,282.4523077
U.S.,151.3304647
LIFE & ARTS,66.1961039
MARKETS,28.72707424
BOOKS,15.86723164
PRO BANKRUPTCY,6
WORLD,119.4365013
ECONOMY,112.479798
REAL ESTATE,34.94545455
WSJ LOGISTICS REPORT,1.4
POLITICS,367.9603399
WSJ. MAGAZINE,6.178571429
RISK & COMPLIANCE JOURNAL,3.707317073
TECH,76.36797753
LOGISTICS REPORT,7.054054054
EXHIBITION REVIEW,4.545454545
CFO JOURNAL,3.895833333
PERSONAL BOARD OF DIRECTORS,6
DANCE REVIEW,1
CMO TODAY,77.20588235
WHATS NEWS BUSINESS FINANCE,1
CIO JOURNAL,5.363636364
UP NEXT,6.875
TELEVISION REVIEW,14.17857143
MANAGEMENT,37.83333333
ARTS,44.82258065
PRO PE EXITS,1
MUSIC REVIEW,3.818181818
PRO VC INDUSTRY NEWS,4
SHIPPING MATTERS,20.25
OPERA REVIEW,2.25
FILM REVIEW,23.47826087
PRO BANKRUPTCY INVESTORS,1
MASTERPIECE,9.818181818
PRO PE DEALS,3
THE ARTIST,3
ARTS & ENTERTAINMENT,11.83333333
PRO VC NEW MONEY,4
FOOD,7
TRENDING,53.5
ARTIFICIAL INTELLIGENCE,8
PRO BANKRUPTCY DISTRESS,37
EXPERIENCE REPORT,10
THE CAPTAIN CLASS,75.5
A-HED,62.43478261
PRO PE LEGAL REGULATORY,15
ON THE COVER,16
PRO VC COMMENTARY ANALYSIS,25
CENTRAL BANKS RESEARCH,48
INFLUENCERS,134